epoch:0000	loss:0.198545039
epoch:0001	loss:0.066901185
epoch:0002	loss:0.060039982
epoch:0003	loss:0.056774888
epoch:0004	loss:0.054499310
epoch:0005	loss:0.052735541
epoch:0006	loss:0.051508166
epoch:0007	loss:0.050025716
epoch:0008	loss:0.048730265
epoch:0009	loss:0.047521867
epoch:0010	loss:0.046609923
epoch:0011	loss:0.045759492
epoch:0012	loss:0.044923835
epoch:0013	loss:0.044389043
epoch:0014	loss:0.043895129
epoch:0015	loss:0.043295342
epoch:0016	loss:0.042708259
epoch:0017	loss:0.042354081
epoch:0018	loss:0.041915584
epoch:0019	loss:0.041674238
epoch:0020	loss:0.041274965
epoch:0021	loss:0.041056607
epoch:0022	loss:0.040748540
epoch:0023	loss:0.040657818
epoch:0024	loss:0.040191874
epoch:0025	loss:0.040035948
epoch:0026	loss:0.039866280
epoch:0027	loss:0.039674338
epoch:0028	loss:0.039574388
epoch:0029	loss:0.039380718
epoch:0030	loss:0.039172601
epoch:0031	loss:0.039023049
epoch:0032	loss:0.038852878
epoch:0033	loss:0.038715966
epoch:0034	loss:0.038509857
epoch:0035	loss:0.038583808
epoch:0036	loss:0.038430702
epoch:0037	loss:0.038287882
epoch:0038	loss:0.038102619
epoch:0039	loss:0.038205240
epoch:0040	loss:0.038018838
epoch:0041	loss:0.037969694
epoch:0042	loss:0.037840154
epoch:0043	loss:0.037876055
epoch:0044	loss:0.037757259
epoch:0045	loss:0.037578639
epoch:0046	loss:0.037670068
epoch:0047	loss:0.037557010
epoch:0048	loss:0.037582308
epoch:0049	loss:0.037402675
epoch:0050	loss:0.037430622
epoch:0051	loss:0.037286993
epoch:0052	loss:0.037193406
epoch:0053	loss:0.037184056
epoch:0054	loss:0.036999051
epoch:0055	loss:0.037010029
epoch:0056	loss:0.036965817
epoch:0057	loss:0.036966313
epoch:0058	loss:0.036911722
epoch:0059	loss:0.036915362
epoch:0060	loss:0.036841642
epoch:0061	loss:0.036693376
epoch:0062	loss:0.036843892
epoch:0063	loss:0.036807895
epoch:0064	loss:0.036654051
epoch:0065	loss:0.036696471
epoch:0066	loss:0.036465321
